Default?,Vivial Category,Vivial Category ID,Google Category,Google ID,,,EXCLUDE (ui),EXCLUDE (key)
Yes,American,<uuid>,American,american_restaurant,,,Meal Delivery,meal_delivery
Yes,American,<uuid>,Hamburger,hamburger_restaurant,,,Meal Takeaway,meal_takeaway
Yes,Breakfast & Brunch,<uuid>,Breakfast,breakfast_restaurant,,,Ice Cream,ice_cream_shop
Yes,Breakfast & Brunch,<uuid>,Brunch,brunch_restaurant,,,,
Yes,Bakery,<uuid>,Bakery,bakery,,,,
Yes,Bar,<uuid>,Bar,bar,,,,
Yes,Barbecue,<uuid>,Barbecue,barbecue_restaurant,,,,
Yes,Brazilian,<uuid>,Brazilian,brazilian_restaurant,,,,
Yes,Cafe,<uuid>,Cafe,cafe,,,,
Yes,Chinese,<uuid>,Chinese,chinese_restaurant,,,,
Yes,Coffee Shop,<uuid>,Coffee Shop,coffee_shop,,,,
Yes,Fast Food,<uuid>,Fast Food,fast_food_restaurant,,,,
Yes,French,<uuid>,French,french_restaurant,,,,
Yes,Greek,<uuid>,Greek,greek_restaurant,,,,
Yes,Indian,<uuid>,Indian,indian_restaurant,,,,
Yes,Indonesian,<uuid>,Indonesian,indonesian_restaurant,,,,
Yes,Italian,<uuid>,Italian,italian_restaurant,,,,
Yes,Italian,<uuid>,Pizza,pizza_restaurant,,,,
Yes,Japanese,<uuid>,Japanese,japanese_restaurant,,,,
Yes,Japanese,<uuid>,Ramen,ramen_restaurant,,,,
Yes,Japanese,<uuid>,Sushi,sushi_restaurant,,,,
Yes,Korean,<uuid>,Korean,korean_restaurant,,,,
Yes,Lebanese,<uuid>,Lebanese,lebanese_restaurant,,,,
Yes,Mediterranean,<uuid>,Mediterranean,mediterranean_restaurant,,,,
Yes,Mexican,<uuid>,Mexican,mexican_restaurant,,,,
Yes,Middle Eastern,<uuid>,Middle Eastern,middle_eastern_restaurant,,,,
Yes,Sandwiches,<uuid>,Sandwiches,sandwich_shop,,,,
Yes,Seafood,<uuid>,Seafood,seafood_restaurant,,,,
Yes,Spanish,<uuid>,Spanish,spanish_restaurant,,,,
Yes,Steak House,<uuid>,Steak House,steak_house,,,,
Yes,Thai,<uuid>,Thai,thai_restaurant,,,,
Yes,Turkish,<uuid>,Turkish,turkish_restaurant,,,,
Yes,Vegan,<uuid>,Vegan,vegan_restaurant,,,,
Yes,Vegetarian,<uuid>,Vegetarian,vegetarian_restaurant,,,,
Yes,Vietnamese,<uuid>,Vietnamese,vietnamese_restaurant,,,,